brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
메가MGC커피,,메가MGC커피 전주호성점,전북특별자치도 전주시 덕진구 호성3길 12,전북특별자치도 전주시 덕진구 호성동1가 587-39,"카페,디저트>카페",35.861173,127.1511243,,추가(CSV에 없음)
빽다방,빽다방전주호성점,빽다방 전주호성점,전북특별자치도 전주시 덕진구 호성3길 19 진이비인후과,전북특별자치도 전주시 덕진구 호성동1가 828-14,"카페,디저트>테이크아웃커피",35.8604024,127.1505755,http://paikdabang.com,확인
컴포즈커피,,컴포즈커피 전주호성점,전북특별자치도 전주시 덕진구 호성3길 22-4,전북특별자치도 전주시 덕진구 호성동1가 587-34 1층 컴포즈커피,"카페,디저트>카페",35.8610227,127.1501642,http://instagram.com/compose_hs,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전주효자휴먼시아점,전북특별자치도 전주시 완산구 호암로 80,전북특별자치도 전주시 완산구 효자동2가 1319-2 1층,"카페,디저트>카페",35.8083371,127.1030855,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전주신시가지점,전북특별자치도 전주시 완산구 홍산4길 6 골든시티,전북특별자치도 전주시 완산구 효자동3가 1528-1 1층 108호,"카페,디저트>카페",35.8182367,127.1093588,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전북도청점,전북특별자치도 전주시 완산구 홍산남로 50,전북특별자치도 전주시 완산구 효자동2가 1155-2 104호,"카페,디저트>카페",35.8155757,127.1072544,,추가(CSV에 없음)
투썸플레이스,,투썸플레이스 전주LH점,전북특별자치도 전주시 완산구 홍산로 160-3,전북특별자치도 전주시 완산구 효자동2가 1332-1,"카페,디저트>카페",35.808165,127.105093,http://www.twosome.co.kr/,추가(CSV에 없음)
스타벅스,스타벅스커피 전주홍산로점,스타벅스 전주홍산로점,전북특별자치도 전주시 완산구 홍산로 238,전북특별자치도 전주시 완산구 효자동2가 1154-3,"카페,디저트>카페",35.8148715,127.1064454,http://www.starbucks.co.kr/,확인
컴포즈커피,컴포즈커피 전북도청점,컴포즈커피 전북도청점,전북특별자치도 전주시 완산구 홍산로 246,전북특별자치도 전주시 완산구 효자동2가 1154-1 107호,"카페,디저트>카페",35.8155568,127.1064474,,확인
빽다방,,빽다방 전주마전점,전북특별자치도 전주시 완산구 홍산로 375,전북특별자치도 전주시 완산구 효자동3가 1609-16 1층 101호,"카페,디저트>테이크아웃커피",35.8273085,127.1056367,,추가(CSV에 없음)
메가MGC커피,메가엠지씨커피 전주효천점,메가MGC커피 전주효천점,전북특별자치도 전주시 완산구 홍산로 77 전주효천우미린더프레스티지,"전북특별자치도 전주시 완산구 효자동2가 1364 우미린2차 상가2동 104,105호","카페,디저트>카페",35.8006675,127.1045303,,확인
이디야,이디야커피(신시가지점),이디야커피 전주신시가지점,전북특별자치도 전주시 완산구 홍산북로 11-3,전북특별자치도 전주시 완산구 효자동2가 1227-2,"카페,디저트>카페",35.8177255,127.1027991,https://blog.naver.com/ediya-coffee,확인
투썸플레이스,투썸플레이스(전주신시가지점),투썸플레이스 전주신시가지점,전북특별자치도 전주시 완산구 홍산중앙로 13,전북특별자치도 전주시 완산구 효자동2가 1155-10,"카페,디저트>카페",35.8148696,127.1087401,http://www.twosome.co.kr/,확인
스타벅스,스타벅스커피 전북도청점,스타벅스 전북도청점,전북특별자치도 전주시 완산구 홍산중앙로 22,전북특별자치도 전주시 완산구 효자동3가 1541-7,"카페,디저트>카페",35.8155919,127.1093326,http://www.starbucks.co.kr/,확인
빽다방,,빽다방 전북도청타운점,전북특별자치도 전주시 완산구 홍산중앙로 33,전북특별자치도 전주시 완산구 효자동3가 1535-5,"카페,디저트>테이크아웃커피",35.8164526,127.1087972,http://paikdabang.com/,추가(CSV에 없음)
이디야,이디야전북도청점,이디야커피 전북도청점,전북특별자치도 전주시 완산구 홍산중앙로 46,전북특별자치도 전주시 완산구 효자동3가 1528-15 1층 이디야,"카페,디저트>카페",35.8176135,127.1093332,https://blog.naver.com/ediya-coffee,확인
이디야,,이디야커피 전주본병원점,전북특별자치도 전주시 완산구 화산천변6길 3,전북특별자치도 전주시 완산구 중화산동2가 751-1 MK빌딩1,"카페,디저트>카페",35.8212938,127.115844,https://blog.naver.com/ediya-coffee,추가(CSV에 없음)
